pid,projectname,strategic,economic,localbenefit,green,business,overall
3273,New York OceanGrid,5,5,4.5,5,4.5,4.875
425,Sierra Madre and Chokecherry Wind Project,5,5,4,5,4,4.75
1773,Gateway Program: Portal North Bridge Project,5,5,5,3.5,4.5,4.725
4229,5G FAST Plan,5,5,4,4,5,4.7
3682,Massachusetts OceanGrid,4.5,5,4.5,5,4,4.675
3398,Gateway Program: Hudson River Tunnel Project,5,4.5,4.5,3.5,4,4.45
2890,XpressWest Los Angeles-Las Vegas HSR,4.5,5,4.5,3,4.5,4.425
923,Texas Central Railway,3,5,5,5,5,4.4
3456,Vineyard Wind,4.5,4,4,5,3.5,4.25
2590,Empire State Connector,4,4,4.5,5,4,4.225
1772,Northeast Maglev Project Phase 1,4.5,4,4,4,4.5,4.2
4525,Harborview Medical Center Expansion,4,4.5,5,3,4.5,4.2
4521,Cascadia Rail,4.5,4.5,3.5,3,5,4.175
3535,Yellow Pine Solar Project,4,4,4.5,5,3.5,4.175
3741,Jayhawk Wind Project,4,4,4,5,4,4.15
3704,Texas Connected Freight Corridors,5,4,3,4,4,4.15
2672,New England Clean Energy Connect,4,4,4,5,4,4.15
3998,Banks Lake Pumped Storage Project,4.5,4,4,4,4,4.15
4523,Children's Hospital of Philadelphia Patient Tower,4,4.5,4,4,4,4.15
2125,B&P Tunnel Project,4.5,4,4,4,4,4.15
2607,SOO Green Renewable Rail,4,4,4,5,4,4.15
3847,Devon Bridge Replacement,4.5,4,4.5,3.5,4,4.15
2798,Skipjack Wind Farm,4,4,4,5,3.5,4.1
3067,JFK Airport New Terminal One,4,4,4.5,4,4,4.075
3726,The Oceti Sakowin Power Project,4,4,4,4.5,4,4.075
3762,Virginia Railway Express/Amtrak Expansion Plan,4.5,4,4,3.5,4,4.075
2123,Great Lakes Basin Transportation Railroad,4.5,4,4,3.5,4,4.075
3746,Caddo Wind Farm,4,5,2,5,3,4.05
4526,Brooklyn Hospital Center Redevelopment ,4,4.5,4,3,4.5,4.05
3954,Project Clean Lake: Shoreline Storage Tunnel Project,4,4,4,4.5,3.5,4.025
3548,Upper Ohio Navigation Project,4.5,4,4,3.5,3.5,4.025
3966,Mid Breton Sediment Diversion,4,4,4,4,4,4
3435,Mid-Barataria Sediment Diversion,4,5,2,4,4,4
3414,I-70 West Vail Pass,4,4,4,4,4,4
2235,Arkansas Valley Conduit,4,4,4,4,4,4
4527,New Hospital at UCSF Helen Diller Medical Center at Parnassus Heights,4,4,4,4,4,4
2222,Boardman to Hemingway Transmission Line,4,4,4,4,4,4
3568,Kitty Hawk Wind Farm,3,5,3,5,4,4
3640,Minneapolis LRT Blue Line Extension,4,4,4,3.5,4.5,3.975
3955,Project Clear: Lower Mermac Tunnel,3.5,4.5,4,4.5,3,3.975
3274,Long Bridge Replacement Project,4.5,4,3.5,3.5,3.5,3.95
3064,Pittsburgh International Airport modernization,4,4,4,3.5,4,3.925
494,Grain Belt Express Clean Line,4,3.5,4,4.5,4,3.925
3996,Massachusetts East-West Rail,4,4,4,3.5,4,3.925
3460,Cardinal-Hickory Creek 345 kV Transmission Line Project,4,4,3.5,4,4,3.925
3077,Gordon Butte Pumped Storage Hydro project,4,4,3,4.5,4,3.925
2537,Maryland I-495 Capital Beltway & I-270 P3 Program,4.5,3.5,4.5,3,4,3.925
2113,San Diego International Airport: Airport Development Plan (ADP),4,4.5,3.5,3,4,3.925
2938,Tacoma Dome Link Extension,4,4,4,4,3,3.9
2213,Corpus Christi Ship Channel Improvements,5,4,2,4,3,3.9
944,Jordan Cove LNG Export Project,4.5,4,4,2,4.5,3.9
3519,Campo Wind Project with Boulder Brush Facilities,3,5,3,5,3,3.9
2889,Hoover Dam Wind and Solar Battery,3,5,3,5,3,3.9
2518,"Controlled Thermal Resources Lithium and Geothermal Project, Salton Sea",3,5,3,5,3,3.9
2151,Cadiz Water Conveyance,3,5,3,5,3,3.9
3951,Joliet Alternative Water Source Program (Rethink Water Joliet),3,4.5,4,4.5,3.5,3.875
3737,Emerson Creek Wind Farm,3.5,4,3.5,5,3.5,3.875
3684,Sunrise Wind,3.5,4,3.5,5,3.5,3.875
3341,I-10 Lake Charles Calcasieu River Bridge,4.5,4,3.5,3,3.5,3.875
4522,Indiana University Health New Hospital - Downtown Indianapolis,3.5,4,4,4,4,3.85
3231,AirTrain Newark,4,3.5,4,4,4,3.85
2535,LaGuardia Airtrain Project,4,3.5,4,4,4,3.85
3426,North Houston Highway Improvement Project,4,4,4,3,4,3.85
3396,I-35 Capital Express Project,4,4,4,3,4,3.85
3838,Copper Mountain Solar 5,3,4,4,5,4,3.85
3962,Ogden/WSU BRT,3,4,5,4,4,3.85
3551,Blackfeet Regional Water System,4,3,5,4,4,3.85
2891,Cape Cod Canal Bridges,4,4,4,3,3.5,3.8
2122,Howard Street Tunnel Widening,4,4,4,3,3.5,3.8
2881,NatGas Export Facility/Gulfport Dredging,3.5,4,4,3,5,3.8
3536,Port of Long Beach: Pier B On-Dock Rail Support Facility,4,3,5,3,5,3.8
3633,I-285 Top End Express Lanes,4,4,3.5,3,4,3.775
3011,Kansas City Streetcar extension (Riverfront and Main Street),4,3.5,4,3.5,4,3.775
3768,UPenn 220MW Solar Farm,3,4,4,4.5,4,3.775
3850,Charleston Seawall,3,5,3,4,3,3.75
